Loja,Nome,Preco,Link
Kabum,"Placa de Vídeo RX 7600 GAMING OC 8G AMD Radeon Gigabyte, 8GB, GDDR6, 128bits, RGB - GV-R76GAMING OC-8GD",1.84990,https://www.kabum.com.br/produto/475647/placa-de-video-rx-7600-gaming-oc-8g-amd-radeon-gigabyte-8gb-gddr6-128bits-rgb-gv-r76gaming-oc-8gd
Kabum,"Placa de Vídeo RX 6600 CLD 8G ASRock AMD Radeon, 8GB, GDDR6 - 90-GA2RZZ-00UANF",1.64990,https://www.kabum.com.br/produto/235984/placa-de-video-rx-6600-cld-8g-asrock-amd-radeon-8gb-gddr6-90-ga2rzz-00uanf
Kabum,"Placa de Vídeo RX 6750XT Gaming XFX Graphics Card AMD Radeon, 12GB GDDR6, Ray tracing, Fidelity FX - RX-675TMBAF9",2.79999,https://www.kabum.com.br/produto/528811/placa-de-video-rx-6750xt-gaming-xfx-graphics-card-amd-radeon-12gb-gddr6-ray-tracing-fidelity-fx-rx-675tmbaf9
Kabum,"Placa de Video RTX 4060 Infinity 2 Palit NVIDIA GeForce, 8GB, GDDR6, DLSS, Ray Tracing, G-Sync - NE64060019P1-1070L",2.29990,https://www.kabum.com.br/produto/581685/placa-de-video-rtx-4060-infinity-2-palit-nvidia-geforce-8gb-gddr6-dlss-ray-tracing-g-sync-ne64060019p1-1070l
Kabum,"Placa de Vídeo RTX 4060 VENTUS 2x Black OC MSI NVIDIA GeForce, 8GB GDDR6, DLSS, Ray Tracing",2.49999,https://www.kabum.com.br/produto/469132/placa-de-video-rtx-4060-ventus-2x-black-oc-msi-nvidia-geforce-8gb-gddr6-dlss-ray-tracing
Kabum,"Placa de Vídeo RX 6650XT XFX Speedster SWFT210 AMD Radeon, 8GB GDDR6, HDMI 3xDP 2 FAN - RX-665X8DFDY",1.79999,https://www.kabum.com.br/produto/576421/placa-de-video-rx-6650xt-xfx-speedster-swft210-amd-radeon-8gb-gddr6-hdmi-3xdp-2-fan-rx-665x8dfdy
Kabum,"Placa de Vídeo RX 7600 Series Graphics Cards XFX AMD Radeon, 8GB GDDR6 - RX-76PQICKBY",1.99999,https://www.kabum.com.br/produto/463543/placa-de-video-rx-7600-series-graphics-cards-xfx-amd-radeon-8gb-gddr6-rx-76pqickby
Kabum,"Placa de Vídeo Gigabyte RTX 5070 Ti WINDFORCE SFF 16G NVIDIA GeForce, 16GB, GDDR7, 256bits, DLSS, Ray Tracing - 9VN507TW-00-G10",6.99990,https://www.kabum.com.br/produto/726400/placa-de-video-gigabyte-rtx-5070-ti-windforce-sff-16g-nvidia-geforce-16gb-gddr7-256bits-dlss-ray-tracing-9vn507tw-00-g10
Kabum,"Placa de Vídeo RTX 4060 Ti Eagle OC Gigabyte NVIDIA GeForce, 8 GB GDDR6, DLSS, Ray Tracing - GV-N406TEAGLE OC-8GD G10",3.29999,https://www.kabum.com.br/produto/462166/placa-de-video-rtx-4060-ti-eagle-oc-gigabyte-nvidia-geforce-8-gb-gddr6-dlss-ray-tracing-gv-n406teagle-oc-8gd-g10
Kabum,"Placa de Vídeo RTX 4060 TI Rog-Strix O8G Gaming NVIDIA GeForce, 8GB GDDR6, ARGB, DLSS, Ray Tracing, G-Sync - ROG-STRIX-RTX4060TI-O8G-GAMING",3.49999,https://www.kabum.com.br/produto/501560/placa-de-video-rtx-4060-ti-rog-strix-o8g-gaming-nvidia-geforce-8gb-gddr6-argb-dlss-ray-tracing-g-sync-rog-strix-rtx4060ti-o8g-gaming
Kabum,"Placa de Vídeo RTX 4060 8G V2 Gaming ATS OC ASUS NVIDIA GeForce, 8GB, GDDR6, DLSS, Ray Tracing, G-Sync - 90YV0JM2-M0NA00",2.49990,https://www.kabum.com.br/produto/550417/placa-de-video-rtx-4060-8g-v2-gaming-ats-oc-asus-nvidia-geforce-8gb-gddr6-dlss-ray-tracing-g-sync-90yv0jm2-m0na00
Kabum,"Placa de Vídeo RTX 4060 EAGLE OC Gigabyte NVIDIA GeForce, 8GB GDDR6, DLSS, Ray Tracing - GV-N4060EAGLE OC-8GD",2.54990,https://www.kabum.com.br/produto/470987/placa-de-video-rtx-4060-eagle-oc-gigabyte-nvidia-geforce-8gb-gddr6-dlss-ray-tracing-gv-n4060eagle-oc-8gd
